"locality_identifier","household_identifier","treatment_locality","promotion_locality","eligible","enrolled","enrolled_rp","poverty_index","round","health_expenditures","age_hh","age_sp","educ_hh","educ_sp","female_hh","indigenous","hhsize","dirtfloor","bathroom","land","hospital_distance","enrolled_num"
26,5,"Treatment","Promotion","Eligible","Enrolled",1,55.9505424499512,"Before",15.1854553222656,24,23,0,6,0,0,4,1,0,1,124.819966250118,1
26,5,"Treatment","Promotion","Eligible","Enrolled",1,55.9505424499512,"After",19.5809020996094,25,24,0,6,0,0,4,1,0,1,124.819966250118,1
26,11,"Treatment","Promotion","Eligible","Enrolled",0,46.0587310791016,"Before",13.0762567520142,30,26,4,0,0,0,6,1,0,2,124.819966250118,1
26,11,"Treatment","Promotion","Eligible","Enrolled",0,46.0587310791016,"After",2.39885449409485,31,27,4,0,0,0,6,1,0,2,124.819966250118,1
26,13,"Treatment","Promotion","Eligible","Enrolled",0,54.0958251953125,"After",0,59,57,0,0,0,0,6,1,0,4,124.819966250118,1
26,13,"Treatment","Promotion","Eligible","Enrolled",0,54.0958251953125,"Before",15.2863531112671,58,56,0,0,0,0,6,1,0,4,124.819966250118,1
26,16,"Treatment","Promotion","Eligible","Enrolled",1,56.9034004211426,"After",20.0269088745117,36,25,3,0,0,0,7,1,0,2,124.819966250118,1
26,16,"Treatment","Promotion","Eligible","Enrolled",1,56.9034004211426,"Before",11.3117609024048,35,24,3,0,0,0,7,1,0,2,124.819966250118,1
26,21,"Treatment","Promotion","Eligible","Enrolled",1,46.9088096618652,"Before",11.2239122390747,37,35,0,0,0,0,7,1,0,2,124.819966250118,1
26,21,"Treatment","Promotion","Eligible","Enrolled",1,46.9088096618652,"After",16.6646862030029,39,36,0,0,0,0,7,1,0,2,124.819966250118,1
26,22,"Treatment","Promotion","Eligible","Enrolled",1,48.1839256286621,"Before",8.87692451477051,34,41,0,2,1,0,9,1,0,1,124.819966250118,1
26,22,"Treatment","Promotion","Eligible","Enrolled",1,48.1839256286621,"After",0.11554642021656,35,41,0,2,1,0,9,1,0,1,124.819966250118,1
26,23,"Treatment","Promotion","Eligible","Enrolled",0,49.6908798217773,"After",0,31,30,0,6,0,0,7,0,0,1,124.819966250118,1
26,23,"Treatment","Promotion","Eligible","Enrolled",0,49.6908798217773,"Before",12.6858167648315,30,29,0,6,0,0,7,0,0,1,124.819966250118,1
26,25,"Treatment","Promotion","Eligible","Enrolled",1,57.1097373962402,"After",17.2236976623535,58,57,3,0,0,0,9,0,0,4,124.819966250118,1
26,25,"Treatment","Promotion","Eligible","Enrolled",1,57.1097373962402,"Before",12.6680889129639,57,56,3,0,0,0,9,0,0,4,124.819966250118,1
26,27,"Treatment","Promotion","Eligible","Enrolled",1,49.6908798217773,"Before",10.5806131362915,24,28,2,6,0,0,7,1,0,2,124.819966250118,1
26,27,"Treatment","Promotion","Eligible","Enrolled",1,49.6908798217773,"After",1.28490090370178,25,29,2,6,0,0,7,1,0,2,124.819966250118,1
26,28,"Treatment","Promotion","Eligible","Enrolled",1,52.6275100708008,"Before",7.23070859909058,40,36,0,2,0,0,9,1,0,1,124.819966250118,1
26,28,"Treatment","Promotion","Eligible","Enrolled",1,52.6275100708008,"After",6.41748237609863,40,37,0,2,0,0,9,1,0,1,124.819966250118,1
26,29,"Treatment","Promotion","Eligible","Enrolled",1,53.9412689208984,"After",2.52997136116028,24,23,5,5,0,0,4,0,0,1,124.819966250118,1
26,29,"Treatment","Promotion","Eligible","Enrolled",1,53.9412689208984,"Before",18.5669403076172,23,22,5,5,0,0,4,0,0,1,124.819966250118,1
26,31,"Treatment","Promotion","Eligible","Enrolled",0,50.185474395752,"Before",11.4904308319092,40,35,2,6,0,0,9,0,0,5,124.819966250118,1
26,31,"Treatment","Promotion","Eligible","Enrolled",0,50.185474395752,"After",1.42787098884583,41,36,2,6,0,0,9,0,0,5,124.819966250118,1
26,37,"Treatment","Promotion","Eligible","Enrolled",1,52.1251945495605,"After",11.0932378768921,28,27,3,0,0,0,5,1,0,2,124.819966250118,1
26,37,"Treatment","Promotion","Eligible","Enrolled",1,52.1251945495605,"Before",14.8354730606079,27,26,3,0,0,0,5,1,0,2,124.819966250118,1
26,39,"Treatment","Promotion","Eligible","Enrolled",0,48.274341583252,"After",6.48236179351807,51,46,2,0,0,0,5,1,0,5,124.819966250118,1
26,39,"Treatment","Promotion","Eligible","Enrolled",0,48.274341583252,"Before",18.0827732086182,50,45,2,0,0,0,5,1,0,5,124.819966250118,1
26,41,"Treatment","Promotion","Eligible","Enrolled",0,53.3485336303711,"After",4.92354297637939,47,39,0,0,0,0,7,1,0,2,124.819966250118,1
26,41,"Treatment","Promotion","Eligible","Enrolled",0,53.3485336303711,"Before",11.9945392608643,46,38,0,0,0,0,7,1,0,2,124.819966250118,1
26,43,"Treatment","Promotion","Eligible","Enrolled",1,54.4304504394531,"After",0.354052722454071,41,37,4,0,0,0,8,0,0,2,124.819966250118,1
26,43,"Treatment","Promotion","Eligible","Enrolled",1,54.4304504394531,"Before",13.0262956619263,40,36,4,0,0,0,8,0,0,2,124.819966250118,1
26,44,"Treatment","Promotion","Eligible","Enrolled",1,53.1684684753418,"Before",16.0434856414795,25,41,0,2,1,0,5,1,0,0,124.819966250118,1
